"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"4323","Carpenters","802","792","10",1193.5,"42.2","47-2031","2015","47-203","master",8.35,"college+"
"4324","Chefs and head cooks","340","285","55",414,"38.5","35-1011","2015","35-101","master",6.21,"college+"
"4325","Chemical engineers","79","69","10",66,"44.7","17-2041","2015","17-204","master",16.83,"college+"
"4326","Chemical technicians","75","43","32",65.5,"45.3","19-4031","2015","19-403","master",3.73,"college+"
"4327","Childcare workers","407","14","393",1272,"37.700000000000003","39-9011","2015","39-901","master",36.89,"college+"
"4328","Chiropractors","22","15","7",58,"44.4","29-1011","2015","29-101","master",1.28,"college+"
"4329","Civil engineers","316","275","41",359,"43.6","17-2051","2015","17-205","master",94.06,"college+"
"4330","Cleaners of vehicles and equipment","222","200","22",331.5,"31.1","53-7061","2015","53-706","master",2.65,"college+"
"4331","Clergy","376","316","60",409,"51.8","21-2011","2015","21-201","master",145.6,"college+"
"4332","Coin, vending, and amusement machine servicers and repairers","38","34","4",36.5,"–","49-9091","2015","49-909","master",0.55,"college+"
"4333","Combined food preparation and serving workers, including fast food","173","67","107",360,"27.6","35-3021","2015","35-302","master",3.6,"college+"
"4334","Communications equipment operators, all other","5","2","3",6,"–","43-2099","2015","43-209","master",0.58,"college+"
"4335","Compensation and benefits managers","23","7","16",13.5,"–","442614","2015","442614","master",3.32,"college+"
"4336","Compensation, benefits, and job analysis specialists","63","12","50",77,"43.6","13-1141","2015","13-114","master",8.86,"college+"
"4337","Compliance officers","235","126","109",197,"48","13-1041","2015","13-104","master",35.07,"college+"
"4338","Computer and information research scientists","28","23","5",23.5,"–","15-1111","2015","15-111","master",7.57,"college+"
"4339","Computer and information systems managers","636","466","169",603.5,"44.3","409743","2015","409743","master",147.86,"college+"
"4340","Computer hardware engineers","72","62","10",90.5,"41.7","17-2061","2015","17-206","master",22.9,"college+"
"4341","Computer occupations, all other","490","374","116",375.5,"41.5","15-1199","2015","15-119","master",58.2,"college+"
"4342","Computer operators","58","25","33",98.5,"47.2","43-9011","2015","43-901","master",6.01,"college+"
"4343","Computer programmers","450","357","93",484.5,"42.8","15-1131","2015","15-113","master",94.48,"college+"
"4344","Computer systems analysts","499","325","173",516.5,"41.6","15-1121","2015","15-112","master",120.86,"college+"
"4345","Computer, automated teller, and office machine repairers","194","166","28",290.5,"42","49-2011","2015","49-201","master",11.91,"college+"
"4346","Construction and building inspectors","67","58","9",109.5,"53.3","47-4011","2015","47-401","master",5.26,"college+"
"4347","Construction laborers","1181","1155","25",1461.5,"38.799999999999997","47-2061","2015","47-206","master",8.77,"college+"
"4348","Construction managers","471","429","42",902,"46.9","2601198","2015","260119","master",53.22,"college+"
"4349","Cost estimators","95","83","12",118.5,"46.7","13-1051","2015","13-105","master",5.33,"college+"
"4350","Counter and rental clerks","73","35","37",120,"44.1","41-2021","2015","41-202","master",2.16,"college+"
"4351","Couriers and messengers","153","134","19",205.5,"46.1","43-5021","2015","43-502","master",4.32,"college+"
"4352","Court, municipal, and license clerks","60","9","51",83,"48.4","43-4031","2015","43-403","master",2.16,"college+"
"4353","Crane and tower operators","75","71","4",67,"45.1","53-7021","2015","53-702","master",0.47,"college+"
"4354","Credit analysts","17","8","9",30,"–","13-2041","2015","13-204","master",5.52,"college+"
"4355","Credit authorizers, checkers, and clerks","42","12","29",41.5,"–","43-4041","2015","43-404","master",2.53,"college+"
"4356","Crossing guards","26","13","13",61,"50.2","33-9091","2015","33-909","master",1.04,"college+"
"4357","Customer service representatives","1760","611","1149",2012.5,"36.700000000000003","43-4051","2015","43-405","master",80.5,"college+"
"4358","Data entry keyers","223","55","169",322,"41.9","43-9021","2015","43-902","master",11.91,"college+"
"4359","Database administrators","90","58","32",99.5,"42","15-1141","2015","15-114","master",23.48,"college+"
"4360","Dental assistants","188","14","175",276.5,"36.799999999999997","31-9091","2015","31-909","master",2.21,"college+"
"4361","Dental hygienists","86","6","80",173.5,"43.9","29-2021","2015","29-202","master",5.38,"college+"
"4362","Detectives and criminal investigators","141","100","41",159,"43.5","33-3021","2015","33-302","master",21.46,"college+"
"4363","Dietitians and nutritionists","79","9","69",113,"45.5","29-1031","2015","29-103","master",31.64,"college+"
"4364","Directors, religious activities and education","62","31","31",59,"45","21-2021","2015","21-202","master",13.69,"college+"
"4365","Dishwashers","117","98","19",286,"29","35-9021","2015","35-902","master",2.29,"college+"
"4366","Door-to-door sales workers, news and street vendors, and related workers","28","9","18",194.5,"46.7","41-9091","2015","41-909","master",7.39,"college+"
"4367","Earth drillers, except oil and gas","30","30","0",34,"–","47-5021","2015","47-502","master",0,"college+"
"4368","Economists","29","17","12",30,"–","19-3011","2015","19-301","master",14.31,"college+"
"4369","Editors","108","58","50",154.5,"40","27-3041","2015","27-304","master",30.9,"college+"
"4370","Electrical power-line installers and repairers","113","112","0",113.5,"38.9","49-9051","2015","49-905","master",1.25,"college+"
"4371","Electricians","651","632","19",711,"42.8","47-2111","2015","47-211","master",6.4,"college+"
"4372","Elevator installers and repairers","23","23","0",26.5,"–","47-4021","2015","47-402","master",0.05,"college+"
"4373","Eligibility interviewers, government programs","67","17","50",83.5,"45.1","43-4061","2015","43-406","master",6.01,"college+"
"4374","Emergency management directors","9","6","3",6.5,"–","2652332","2015","265233","master",1.33,"college+"
"4375","Emergency medical technicians and paramedics","175","126","49",174,"34.6","29-2041","2015","29-204","master",4,"college+"
"4376","Engine and other machine assemblers","14","12","2",26,"–","51-2031","2015","51-203","master",0,"college+"
"4377","Entertainers and performers, sports and related workers, all other","14","11","3",38,"–","27-2099","2015","27-209","master",2.62,"college+"
"4378","Environmental engineers","35","26","9",38,"–","17-2081","2015","17-208","master",12.88,"college+"
"4379","Explosives workers, ordnance handling experts, and blasters","5","5","0",8,"–","47-5031","2015","47-503","master",0.1,"college+"
"4380","Extruding and drawing machine setters, operators, and tenders, metal and plastic","8","7","1",11.5,"–","51-4021","2015","51-402","master",0.03,"college+"
"4381","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","31","25","6",35.5,"–","51-9041","2015","51-904","master",0.5,"college+"
"4382","Farmers, ranchers, and other agricultural managers","129","106","23",936.5,"56.1","2598276","2015","259827","master",27.16,"college+"
"4383","Fence erectors","33","33","0",34,"–","47-4031","2015","47-403","master",0.41,"college+"
"4384","File clerks","145","25","120",274.5,"40.799999999999997","43-4071","2015","43-407","master",12.63,"college+"
"4385","Financial analysts","295","168","127",97,"38.700000000000003","13-2051","2015","13-205","master",32.01,"college+"
"4386","Financial clerks, all other","61","30","32",53.5,"42.7","43-3099","2015","43-309","master",7.44,"college+"
"4387","Financial examiners","17","9","8",14,"–","13-2061","2015","13-206","master",3.33,"college+"
"4388","Financial managers","1124","551","573",1223,"43.8","413395","2015","413395","master",240.93,"college+"
"4389","Financial specialists, all other","66","25","40",88,"40.5","13-2099","2015","13-209","master",17.25,"college+"
"4390","Firefighters","260","245","16",300.5,"40.1","33-2011","2015","33-201","master",6.31,"college+"
"4391","First-line supervisors of construction trades and extraction workers","560","540","20",632.5,"46.2","47-1011","2015","47-101","master",10.12,"college+"
"4392","First-line supervisors of correctional officers","57","41","16",41,"–","33-1011","2015","33-101","master",2.01,"college+"
"4393","First-line supervisors of farming, fishing, and forestry workers","42","32","10",49,"–","45-1011","2015","45-101","master",1.13,"college+"
"4394","First-line supervisors of fire fighting and prevention workers","42","39","3",61,"45.6","33-1021","2015","33-102","master",3.23,"college+"
"4395","First-line supervisors of housekeeping and janitorial workers","172","108","64",299.5,"48.6","37-1011","2015","37-101","master",6.59,"college+"
"4396","First-line supervisors of mechanics, installers, and repairers","270","252","18",279,"48.1","49-1011","2015","49-101","master",6.42,"college+"
"4397","First-line supervisors of office and administrative support workers","1297","434","863",1389.5,"45.7","43-1011","2015","43-101","master",105.6,"college+"
"4398","First-line supervisors of personal service workers","60","25","35",237,"44.7","39-1021","2015","39-102","master",7.82,"college+"
"4399","First-line supervisors of production and operating workers","783","650","133",769.5,"47.2","51-1011","2015","51-101","master",23.85,"college+"
"4400","First-line supervisors of protective service workers, all other","72","56","16",96.5,"47","33-1099","2015","33-109","master",10.04,"college+"
"4401","First-line supervisors of retail sales workers","2326","1296","1030",3230,"43","41-1011","2015","41-101","master",122.74,"college+"
"4402","Flight attendants","63","20","43",88.5,"49.4","53-2031","2015","53-203","master",4.07,"college+"
"4403","Food and tobacco roasting, baking, and drying machine operators and tenders","9","7","1",10.5,"–","51-3091","2015","51-309","master",0.1,"college+"
"4404","Food preparation workers","366","174","192",876.5,"27.8","35-2021","2015","35-202","master",10.52,"college+"
"4405","Food servers, nonrestaurant","93","31","62",223,"33.200000000000003","35-3041","2015","35-304","master",2.68,"college+"
"4406","Food service managers","763","389","374",1081,"40","2612155","2015","261215","master",36.75,"college+"
"4407","Forest and conservation workers","15","10","5",13.5,"–","45-4011","2015","45-401","master",0.3,"college+"
"4408","Fundraisers","62","14","48",83.5,"42.9","13-1131","2015","13-113","master",22.13,"college+"
"4409","Furnace, kiln, oven, drier, and kettle operators and tenders","6","5","0",15.5,"–","51-9051","2015","51-905","master",0,"college+"
"4410","Furniture finishers","6","6","0",7,"–","51-7021","2015","51-702","master",0.13,"college+"
"4411","Gaming cage workers","11","2","10",11,"–","43-3041","2015","43-304","master",0.11,"college+"
"4412","Gaming managers","19","13","6",21.5,"–","2619460","2015","261946","master",1.14,"college+"
"4413","General and operations managers","823","621","202",1069.5,"45.6","11-1021","2015","11-102","master",116.58,"college+"
"4414","Glaziers","33","32","0",41.5,"–","47-2121","2015","47-212","master",0.21,"college+"
"4415","Graders and sorters, agricultural products","83","32","51",106,"42.4","45-2041","2015","45-204","master",0.11,"college+"
"4416","Hazardous materials removal workers","39","35","5",35,"–","47-4041","2015","47-404","master",0.88,"college+"
"4417","Health diagnosing and treating practitioners, all other","2","0","2",24,"–","29-1199","2015","29-119","master",9.24,"college+"
"4418","Heating, air conditioning, and refrigeration mechanics and installers","341","337","4",362,"41.1","49-9021","2015","49-902","master",2.17,"college+"
"4419","Highway maintenance workers","91","91","0",102.5,"48.1","47-4051","2015","47-405","master",1.02,"college+"
"4420","Home appliance repairers","36","36","0",49.5,"48.2","49-9031","2015","49-903","master",0.5,"college+"
"4421","Hosts and hostesses, restaurant, lounge, and coffee shop","66","8","58",279.5,"21.8","35-9031","2015","35-903","master",8.11,"college+"
"4422","Hotel, motel, and resort desk clerks","127","58","69",111,"30.1","43-4081","2015","43-408","master",2.89,"college+"
"4423","Human resources assistants, except payroll and timekeeping","50","11","40",132.5,"42.6","43-4161","2015","43-416","master",9.01,"college+"
"4424","Human resources managers","254","68","186",221.5,"44.3","446267","2015","446267","master",43.19,"college+"
