"","employment","Total","median","code","year","code2","degrees","number","edu"
"2582","Computer occupations, all other",529.5,"42.2","15-1199","2014","15-119","some.college..no.degree",111.72,"hs+"
"2583","Computer operators",78,"46.3","43-9011","2014","43-901","some.college..no.degree",24.96,"hs+"
"2584","Computer programmers",494.5,"42.1","15-1131","2014","15-113","some.college..no.degree",67.75,"hs+"
"2585","Computer systems analysts",531.5,"41.9","15-1121","2014","15-112","some.college..no.degree",72.28,"hs+"
"2586","Computer, automated teller, and office machine repairers",253,"41.7","49-2011","2014","49-201","some.college..no.degree",77.92,"hs+"
"2587","Construction and building inspectors",84,"51.4","47-4011","2014","47-401","some.college..no.degree",25.03,"hs+"
"2588","Construction laborers",1667.5,"38.9","47-2061","2014","47-206","some.college..no.degree",275.14,"hs+"
"2589","Cost estimators",108.5,"46.7","13-1051","2014","13-105","some.college..no.degree",32.33,"hs+"
"2590","Counter and rental clerks",111,"34.700000000000003","41-2021","2014","41-202","some.college..no.degree",27.75,"hs+"
"2591","Couriers and messengers",234,"45.5","43-5021","2014","43-502","some.college..no.degree",73.24,"hs+"
"2592","Court, municipal, and license clerks",70,"49.1","43-4031","2014","43-403","some.college..no.degree",22.05,"hs+"
"2593","Crane and tower operators",75,"44.1","53-7021","2014","53-702","some.college..no.degree",18.53,"hs+"
"2594","Credit analysts",24.5,"–","13-2041","2014","13-204","some.college..no.degree",4.26,"hs+"
"2595","Credit authorizers, checkers, and clerks",48,"–","43-4041","2014","43-404","some.college..no.degree",14.11,"hs+"
"2596","Crossing guards",61.5,"54.9","33-9091","2014","33-909","some.college..no.degree",14.45,"hs+"
"2597","Customer service representatives",2178.5,"36.4","43-4051","2014","43-405","some.college..no.degree",699.3,"hs+"
"2598","Data entry keyers",286.5,"41.4","43-9021","2014","43-902","some.college..no.degree",96.55,"hs+"
"2599","Database administrators",100.5,"45.6","15-1141","2014","15-114","some.college..no.degree",13.27,"hs+"
"2600","Dental assistants",279.5,"35.9","31-9091","2014","31-909","some.college..no.degree",110.4,"hs+"
"2601","Dental hygienists",176,"40.799999999999997","29-2021","2014","29-202","some.college..no.degree",13.2,"hs+"
"2602","Detectives and criminal investigators",154,"42.9","33-3021","2014","33-302","some.college..no.degree",37.27,"hs+"
"2603","Dietitians and nutritionists",115.5,"43.3","29-1031","2014","29-103","some.college..no.degree",10.05,"hs+"
"2604","Directors, religious activities and education",71,"41.9","21-2021","2014","21-202","some.college..no.degree",11.79,"hs+"
"2605","Dishwashers",263.5,"28.1","35-9021","2014","35-902","some.college..no.degree",26.88,"hs+"
"2606","Door-to-door sales workers, news and street vendors, and related workers",165.5,"42.8","41-9091","2014","41-909","some.college..no.degree",39.06,"hs+"
"2607","Earth drillers, except oil and gas",29,"–","47-5021","2014","47-502","some.college..no.degree",5.95,"hs+"
"2608","Economists",33.5,"–","19-3011","2014","19-301","some.college..no.degree",0,"hs+"
"2609","Editors",161.5,"41.2","27-3041","2014","27-304","some.college..no.degree",17.77,"hs+"
"2610","Electrical power-line installers and repairers",117,"40.4","49-9051","2014","49-905","some.college..no.degree",37.56,"hs+"
"2611","Electricians",771,"41.2","47-2111","2014","47-211","some.college..no.degree",242.87,"hs+"
"2612","Elevator installers and repairers",26,"–","47-4021","2014","47-402","some.college..no.degree",7.85,"hs+"
"2613","Eligibility interviewers, government programs",72,"45.3","43-4061","2014","43-406","some.college..no.degree",19.01,"hs+"
"2614","Emergency medical technicians and paramedics",226,"32.4","29-2041","2014","29-204","some.college..no.degree",101.02,"hs+"
"2615","Engine and other machine assemblers",10.5,"–","51-2031","2014","51-203","some.college..no.degree",2.8,"hs+"
"2616","Entertainers and performers, sports and related workers, all other",39.5,"–","27-2099","2014","27-209","some.college..no.degree",11.85,"hs+"
"2617","Environmental engineers",41,"–","17-2081","2014","17-208","some.college..no.degree",2.01,"hs+"
"2618","Explosives workers, ordnance handling experts, and blasters",7,"–","47-5031","2014","47-503","some.college..no.degree",2.29,"hs+"
"2619","Extruding and drawing machine setters, operators, and tenders, metal and plastic",11.5,"–","51-4021","2014","51-402","some.college..no.degree",2.99,"hs+"
"2620","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,"–","51-9041","2014","51-904","some.college..no.degree",6.87,"hs+"
"2621","Fence erectors",33.5,"–","47-4031","2014","47-403","some.college..no.degree",5.36,"hs+"
"2622","File clerks",214.5,"42.9","43-4071","2014","43-407","some.college..no.degree",66.28,"hs+"
"2623","Financial analysts",291.5,"38.299999999999997","13-2051","2014","13-205","some.college..no.degree",17.2,"hs+"
"2624","Financial clerks, all other",67,"41.7","43-3099","2014","43-309","some.college..no.degree",16.55,"hs+"
"2625","Financial examiners",15.5,"–","13-2061","2014","13-206","some.college..no.degree",0.76,"hs+"
"2626","Financial specialists, all other",82,"44.4","13-2099","2014","13-209","some.college..no.degree",13.53,"hs+"
"2627","Firefighters",296.5,"39.6","33-2011","2014","33-201","some.college..no.degree",120.08,"hs+"
"2628","First-line supervisors of construction trades and extraction workers",704,"46.9","47-1011","2014","47-101","some.college..no.degree",178.82,"hs+"
"2629","First-line supervisors of correctional officers",50.5,"–","33-1011","2014","33-101","some.college..no.degree",16.92,"hs+"
"2630","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","2014","45-101","some.college..no.degree",7.64,"hs+"
"2631","First-line supervisors of fire fighting and prevention workers",53.5,"47.8","33-1021","2014","33-102","some.college..no.degree",19.47,"hs+"
"2632","First-line supervisors of housekeeping and janitorial workers",287.5,"47.5","37-1011","2014","37-101","some.college..no.degree",71.3,"hs+"
"2633","First-line supervisors of mechanics, installers, and repairers",273,"48.5","49-1011","2014","49-101","some.college..no.degree",82.99,"hs+"
"2634","First-line supervisors of office and administrative support workers",1412.5,"45.6","43-1011","2014","43-101","some.college..no.degree",405.39,"hs+"
"2635","First-line supervisors of personal service workers",193.5,"44.6","39-1021","2014","39-102","some.college..no.degree",60.57,"hs+"
"2636","First-line supervisors of production and operating workers",803,"45.8","51-1011","2014","51-101","some.college..no.degree",211.99,"hs+"
"2637","First-line supervisors of protective service workers, all other",86,"46.7","33-1099","2014","33-109","some.college..no.degree",25.28,"hs+"
"2638","First-line supervisors of retail sales workers",3265,"43","41-1011","2014","41-101","some.college..no.degree",943.59,"hs+"
"2639","Flight attendants",89,"46.8","53-2031","2014","53-203","some.college..no.degree",30.08,"hs+"
"2640","Food and tobacco roasting, baking, and drying machine operators and tenders",12,"–","51-3091","2014","51-309","some.college..no.degree",3.11,"hs+"
"2641","Food preparation workers",871.5,"27.1","35-2021","2014","35-202","some.college..no.degree",184.76,"hs+"
"2642","Food servers, nonrestaurant",187.5,"36","35-3041","2014","35-304","some.college..no.degree",43.88,"hs+"
"2643","Forest and conservation workers",18,"–","45-4011","2014","45-401","some.college..no.degree",2.88,"hs+"
"2644","Fundraisers",84.5,"40.5","13-1131","2014","13-113","some.college..no.degree",6.84,"hs+"
"2645","Furnace, kiln, oven, drier, and kettle operators and tenders",8,"–","51-9051","2014","51-905","some.college..no.degree",1.6,"hs+"
"2646","Furniture finishers",11,"–","51-7021","2014","51-702","some.college..no.degree",2.22,"hs+"
"2647","Gaming cage workers",14,"–","43-3041","2014","43-304","some.college..no.degree",3.88,"hs+"
"2648","General and operations managers",893,"45.1","11-1021","2014","11-102","some.college..no.degree",231.29,"hs+"
"2649","Glaziers",41,"–","47-2121","2014","47-212","some.college..no.degree",8.94,"hs+"
"2650","Graders and sorters, agricultural products",95,"39.4","45-2041","2014","45-204","some.college..no.degree",8.46,"hs+"
"2651","Hazardous materials removal workers",32.5,"–","47-4041","2014","47-404","some.college..no.degree",7.44,"hs+"
"2652","Health diagnosing and treating practitioners, all other",20.5,"–","29-1199","2014","29-119","some.college..no.degree",1.5,"hs+"
"2653","Heating, air conditioning, and refrigeration mechanics and installers",393,"41.7","49-9021","2014","49-902","some.college..no.degree",116.72,"hs+"
"2654","Highway maintenance workers",113,"47.5","47-4051","2014","47-405","some.college..no.degree",21.47,"hs+"
"2655","Home appliance repairers",52,"49.6","49-9031","2014","49-903","some.college..no.degree",15.29,"hs+"
"2656","Hosts and hostesses, restaurant, lounge, and coffee shop",295,"21.8","35-9031","2014","35-903","some.college..no.degree",76.7,"hs+"
"2657","Hotel, motel, and resort desk clerks",138,"30","43-4081","2014","43-408","some.college..no.degree",49.13,"hs+"
"2658","Human resources assistants, except payroll and timekeeping",80,"42.8","43-4161","2014","43-416","some.college..no.degree",30.08,"hs+"
"2659","Industrial truck and tractor operators",576.5,"41.4","53-7051","2014","53-705","some.college..no.degree",113.57,"hs+"
"2660","Information and record clerks, all other",111,"43.9","43-4199","2014","43-419","some.college..no.degree",35.74,"hs+"
"2661","Inspectors, testers, sorters, samplers, and weighers",752,"43.1","51-9061","2014","51-906","some.college..no.degree",198.53,"hs+"
"2662","Insurance claims and policy processing clerks",287.5,"43.7","43-9041","2014","43-904","some.college..no.degree",97.75,"hs+"
"2663","Insurance sales agents",588.5,"46.1","41-3021","2014","41-302","some.college..no.degree",158.9,"hs+"
"2664","Interviewers, except eligibility and loan",155.5,"41.2","43-4111","2014","43-411","some.college..no.degree",53.03,"hs+"
"2665","Jewelers and precious stone and metal workers",44,"–","51-9071","2014","51-907","some.college..no.degree",9.81,"hs+"
"2666","Laundry and dry-cleaning workers",174,"47.5","51-6011","2014","51-601","some.college..no.degree",28.01,"hs+"
"2667","Librarians",182,"49.1","25-4021","2014","25-402","some.college..no.degree",14.92,"hs+"
"2668","Library assistants, clerical",98,"40.200000000000003","43-4121","2014","43-412","some.college..no.degree",26.26,"hs+"
"2669","Library technicians",33.5,"–","25-4031","2014","25-403","some.college..no.degree",6.16,"hs+"
"2670","Licensed practical and licensed vocational nurses",655.5,"43.3","29-2061","2014","29-206","some.college..no.degree",353.97,"hs+"
"2671","Loan interviewers and clerks",141,"39.200000000000003","43-4131","2014","43-413","some.college..no.degree",49.35,"hs+"
"2672","Logisticians",108.5,"42.2","13-1081","2014","13-108","some.college..no.degree",30.05,"hs+"
"2673","Machinists",377,"44.7","51-4041","2014","51-404","some.college..no.degree",105.18,"hs+"
"2674","Mail clerks and mail machine operators, except postal service",80,"42.2","43-9051","2014","43-905","some.college..no.degree",23.76,"hs+"
"2675","Maintenance and repair workers, general",499,"48.3","49-9071","2014","49-907","some.college..no.degree",135.23,"hs+"
"2676","Management analysts",849,"46","13-1111","2014","13-111","some.college..no.degree",102.73,"hs+"
"2677","Marine engineers and naval architects",10,"–","17-2121","2014","17-212","some.college..no.degree",1.08,"hs+"
"2678","Market research analysts and marketing specialists",272.5,"37.6","13-1161","2014","13-116","some.college..no.degree",27.25,"hs+"
"2679","Massage therapists",180.5,"42.4","31-9011","2014","31-901","some.college..no.degree",63.54,"hs+"
"2680","Materials engineers",37.5,"–","17-2131","2014","17-213","some.college..no.degree",4.91,"hs+"
"2681","Mechanical engineers",313,"42.6","17-2141","2014","17-214","some.college..no.degree",29.73,"hs+"
"2682","Medical records and health information technicians",169,"46.5","29-2071","2014","29-207","some.college..no.degree",55.77,"hs+"
"2683","Meeting, convention, and event planners",157.5,"34.299999999999997","13-1121","2014","13-112","some.college..no.degree",31.03,"hs+"
"2684","Meter readers, utilities",32,"–","43-5041","2014","43-504","some.college..no.degree",10.69,"hs+"
"2685","Morticians, undertakers, and funeral directors",32,"–","39-4031","2014","39-403","some.college..no.degree",6.43,"hs+"
"2686","Motion picture projectionists",5,"–","39-3021","2014","39-302","some.college..no.degree",1.5,"hs+"
"2687","Motor vehicle operators, all other",56,"55.9","53-3099","2014","53-309","some.college..no.degree",13.05,"hs+"
"2688","New accounts clerks",26.5,"–","43-4141","2014","43-414","some.college..no.degree",9.43,"hs+"
"2689","Nonfarm animal caretakers",226.5,"31.6","39-2021","2014","39-202","some.college..no.degree",60.7,"hs+"
"2690","Nurse anesthetists",28.5,"–","29-1151","2014","29-115","some.college..no.degree",0,"hs+"
"2691","Occupational therapists",113.5,"40.799999999999997","29-1122","2014","29-112","some.college..no.degree",1.02,"hs+"
"2692","Office clerks, general",1259,"44.3","43-9061","2014","43-906","some.college..no.degree",399.1,"hs+"
"2693","Office machine operators, except computer",38,"–","43-9071","2014","43-907","some.college..no.degree",11.86,"hs+"
"2694","Operations research analysts",130.5,"44.1","15-2031","2014","15-203","some.college..no.degree",19.57,"hs+"
"2695","Opticians, dispensing",49,"–","29-2081","2014","29-208","some.college..no.degree",16.51,"hs+"
"2696","Optometrists",43.5,"–","29-1041","2014","29-104","some.college..no.degree",0,"hs+"
"2697","Packaging and filling machine operators and tenders",254.5,"40.700000000000003","51-9111","2014","51-911","some.college..no.degree",37.92,"hs+"
"2698","Paralegals and legal assistants",408.5,"42.6","23-2011","2014","23-201","some.college..no.degree",100.49,"hs+"
"2699","Parking lot attendants",84.5,"31.6","53-6021","2014","53-602","some.college..no.degree",21.46,"hs+"
"2700","Paving, surfacing, and tamping equipment operators",15.5,"–","47-2071","2014","47-207","some.college..no.degree",1.74,"hs+"
"2701","Payroll and timekeeping clerks",142,"46.3","43-3051","2014","43-305","some.college..no.degree",50.98,"hs+"
"2702","Personal care aides",1252.5,"45.1","39-9021","2014","39-902","some.college..no.degree",338.18,"hs+"
"2703","Personal care and service workers, all other",140,"38","39-9099","2014","39-909","some.college..no.degree",38.22,"hs+"
